onset_s,event_time_s,duration_s,end_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,session_mode,source,lsl_ts_mono,local_ts,event_id,event_index,label
651.0920572760515,651.0920572760515,0.8802354582585394,651.97229273431,thumb_open,n/a,,,1,1,0,0,,keyboard,3025731.172729208,1771283510.746746,42,42,thumb_open
653.5747214010917,653.5747214010917,1.1472477912902832,654.721969192382,thumb_open,n/a,,,1,1,0,0,,keyboard,3025733.922405666,1771283513.49632,43,43,thumb_open
656.5477770259604,656.5477770259604,0.802389208227396,657.3501662341878,thumb_open,n/a,,,1,1,0,0,,keyboard,3025736.550602708,1771283516.124424,44,44,thumb_open
659.0618908489123,659.0618908489123,0.95099121844396,660.0128820673563,thumb_open,n/a,,,1,1,0,0,,keyboard,3025739.213318541,1771283518.787039,45,45,thumb_open
661.4461694844067,661.4461694844067,0.928550707641989,662.3747201920487,thumb_open,n/a,,,1,1,0,0,,keyboard,3025741.575156666,1771283521.148788,46,46,thumb_open
664.0782929421403,664.0782929421403,0.8433956252411008,664.9216885673814,thumb_open,n/a,,,1,1,0,0,,keyboard,3025744.122125041,1771283523.6956632,47,47,thumb_open
666.4762081922963,666.4762081922963,0.9634206667542458,667.4396288590506,thumb_open,n/a,,,1,1,0,0,,keyboard,3025746.640065333,1771283526.213509,48,48,thumb_open
669.1044224421494,669.1044224421494,0.9396760421805084,670.0440984843299,thumb_open,n/a,,,1,1,0,0,,keyboard,3025749.244534958,1771283528.817884,49,49,thumb_open
671.7194345672615,671.7194345672615,0.7960850838571787,672.5155196511187,thumb_open,n/a,,,1,1,0,0,,keyboard,3025751.715956125,1771283531.289213,50,50,thumb_open
674.1837244844064,674.1837244844064,1.0162476249970496,675.1999721094035,thumb_open,n/a,,,1,1,0,0,,keyboard,3025754.400408583,1771283533.973567,51,51,thumb_open
676.723913484253,676.723913484253,0.9075657497160137,677.631479233969,thumb_open,n/a,,,1,1,0,0,,keyboard,3025756.831915708,1771283536.404983,52,52,thumb_open
679.1527025261894,679.1527025261894,1.064587416127324,680.2172899423167,thumb_open,n/a,,,1,1,0,0,,keyboard,3025759.417726416,1771283538.990699,53,53,thumb_open
681.6974507258274,681.6974507258274,0.9374557617120445,682.6349064875394,thumb_open,n/a,,,1,1,0,0,,keyboard,3025761.8353429614,1771283541.3864388,54,54,thumb_open
684.0358325671405,684.0358325671405,1.208126834128052,685.2439594012685,thumb_open,n/a,,,1,1,0,0,,keyboard,3025764.444395875,1771283544.017185,55,55,thumb_open
686.8612336511724,686.8612336511724,0.8800013749860227,687.7412350261584,thumb_open,n/a,,,1,1,0,0,,keyboard,3025766.9416715,1771283546.5143669,56,56,thumb_open
689.231589901261,689.231589901261,0.7924979161471128,690.0240878174081,thumb_open,n/a,,,1,1,0,0,,keyboard,3025769.224524291,1771283548.797135,57,57,thumb_open
691.5789015670307,691.5789015670307,1.0609369170852005,692.6398384841159,thumb_open,n/a,,,1,1,0,0,,keyboard,3025771.840274958,1771283551.41279,58,58,thumb_open
694.0340526090004,694.0340526090004,1.1288434583693743,695.1628960673697,thumb_open,n/a,,,1,1,0,0,,keyboard,3025774.363332541,1771283553.935754,59,59,thumb_open
781.0727608171292,781.0727608171292,0.7001539999619126,781.7729148170911,thumb_close,n/a,,,1,2,0,0,,keyboard,3025860.973351291,1771283640.5425742,60,60,thumb_close
783.8845554841682,783.8845554841682,0.5764282918535173,784.4609837760217,thumb_close,n/a,,,1,2,0,0,,keyboard,3025863.66142025,1771283643.230539,61,61,thumb_close
786.4840496513061,786.4840496513061,0.788071250077337,787.2721209013835,thumb_close,n/a,,,1,2,0,0,,keyboard,3025866.472557375,1771283646.041573,62,62,thumb_close
788.8428180529736,788.8428180529736,0.7285628062672913,789.5713808592409,thumb_close,n/a,,,1,2,0,0,,keyboard,3025868.771817333,1771283648.340748,63,63,thumb_close
791.1967634423636,791.1967634423636,0.6799307088367641,791.8766941512004,thumb_close,n/a,,,1,2,0,0,,keyboard,3025871.077130625,1771283650.645974,64,64,thumb_close
793.9684391510673,793.9684391510673,0.732491166330874,794.7009303173982,thumb_close,n/a,,,1,2,0,0,,keyboard,3025873.901366791,1771283653.4701061,65,65,thumb_close
796.6365647763014,796.6365647763014,0.7328512500971556,797.3694160263985,thumb_close,n/a,,,1,2,0,0,,keyboard,3025876.5698525,1771283656.138496,66,66,thumb_close
798.9763344842941,798.9763344842941,0.9319048747420311,799.9082393590361,thumb_close,n/a,,,1,2,0,0,,keyboard,3025879.108675833,1771283658.677228,67,67,thumb_close
801.5295645673759,801.5295645673759,0.7962097497656941,802.3257743171416,thumb_close,n/a,,,1,2,0,0,,keyboard,3025881.526210791,1771283661.094673,68,68,thumb_close
804.0588321923278,804.0588321923278,0.7156835836358368,804.7745157759637,thumb_close,n/a,,,1,2,0,0,,keyboard,3025883.97495225,1771283663.5433202,69,69,thumb_close
806.6641343170777,806.6641343170777,0.6458288794383407,807.309963196516,thumb_close,n/a,,,1,2,0,0,,keyboard,3025886.5103996703,1771283666.073791,70,70,thumb_close
