lsl_timestamp,ch1,ch2,ch3,ch4
776098.7622771276,-135.25390625,-25.87890625,-23.92578125,-48.828125
776098.7657300218,-161.1328125,-34.1796875,-20.5078125,-94.23828125
776098.7691829159,-136.71875,-31.25,-33.69140625,-85.9375
776098.7726358101,-134.27734375,-20.01953125,-26.85546875,-76.66015625
776098.7760887042,-123.53515625,-22.4609375,-36.62109375,-112.79296875
776098.7795415984,-107.421875,-38.57421875,-40.52734375,-92.7734375
776098.7829944926,-111.328125,-36.1328125,-17.578125,-71.77734375
776098.7864473867,-122.0703125,-21.97265625,-25.87890625,-79.58984375
776098.7899002809,-136.23046875,-29.78515625,-20.99609375,-88.8671875
776098.793353175,-163.0859375,-35.15625,-12.20703125,-95.703125
776098.7968060692,-191.40625,-25.87890625,-18.06640625,-141.6015625
776098.8002589634,-169.43359375,-32.71484375,-17.08984375,-145.99609375
776098.8037118575,-180.17578125,-29.78515625,-13.18359375,-135.25390625
776098.8071647517,-227.5390625,-20.5078125,-11.23046875,-176.7578125
776098.8175235175,-228.02734375,-22.4609375,-8.30078125,-186.5234375
776098.8211819632,-235.3515625,-18.06640625,-16.11328125,-166.50390625
776098.8248404089,-247.55859375,-23.4375,-25.87890625,-156.73828125
776098.8284988545,-244.140625,-30.76171875,-20.01953125,-182.6171875
776098.8321573002,-243.1640625,-20.5078125,-9.27734375,-206.0546875
776098.8358157459,-254.8828125,-28.80859375,-13.671875,-170.41015625
776098.8394741915,-224.12109375,-20.5078125,-10.25390625,-158.69140625
776098.8431326372,-221.6796875,-4.8828125,-12.6953125,-175.78125
776098.8467910829,-228.515625,-25.87890625,-25.390625,-169.43359375
776098.8504495285,-229.98046875,-23.92578125,-18.5546875,-173.33984375
776098.8541079742,-277.83203125,-24.90234375,-13.671875,-171.875
776098.8577664199,-264.16015625,-28.80859375,-20.99609375,-149.90234375
776098.8614248656,-235.3515625,-23.92578125,-21.484375,-155.2734375
776098.8650833112,-248.046875,-24.90234375,-25.390625,-163.57421875
776098.8687417569,-246.09375,-23.4375,-25.87890625,-137.20703125
