lsl_timestamp,time_s,ch1,ch2,ch3,ch4,pred_action,pred_finger,action_confidence,action_uncertainty,finger_confidence,finger_uncertainty,velocity,latency_ms
753431.997553779,67.88376039662398,-0.19074410067106862,-1.1865544817853584,1.210009018010375,0.9426905494556378,0.980028235615472,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0025557966,67.88876241422258,-0.8413103244061604,-2.307282937452864,1.1945985112869508,0.547297347388322,0.726271581970713,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0075578142,67.89376443182118,-0.6101852611321185,-0.9650263149060871,0.6414329359048498,-0.1294926521560024,-0.29329756968450044,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0125598318,67.89876644941978,0.05671482149933799,-0.4780298262935918,0.616877612014239,0.5374185214577457,0.15606435667925952,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0175618494,67.90376846701838,0.5890055895316652,-0.9812247184219617,0.04363358630167388,1.329294078499675,1.3544949300766524,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.022563867,67.90877048461698,0.10051372969415112,-0.519319025952235,0.14534431347335658,0.3335177037805158,-0.14904137479038146,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0275658846,67.91377250221558,-0.5284309640630703,-0.42615383047131244,0.06166765745851749,-0.6908435657715534,-1.2815125609756943,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0325679022,67.91877451981418,0.07083573662912539,-0.7222142891607194,-0.31450579803892614,0.16021027889137276,-0.21367605625422811,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0375699198,67.92377653741278,0.4142030866350571,-1.3395348731875443,0.07077107176536648,1.0042823894749926,0.08716838869251113,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0425719374,67.92877855501138,0.2090659064633043,0.16924605024934675,0.19511732086684289,0.16729139930839387,-0.445246128364595,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.047573955,67.93378057260998,0.08298842183654855,1.1638150320275038,-0.4474852876171734,-0.6817644047499796,-0.7669389357898065,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0525759726,67.93878259020858,0.2837632770510151,1.1260470611338926,-0.7316658490511204,-0.44212379425821285,-0.19485093159627853,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0575779902,67.94378460780717,0.4198813277141723,0.7768227762572105,-0.652448172768431,-0.11780597819160447,-0.15238907249189493,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0625800078,67.94878662540577,0.20627251119222345,0.7845926667697989,-0.7714989212906228,-0.4311608642672512,-0.22801881340296207,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0675820254,67.95378864300437,-0.2240622751054114,0.22476068791459414,-1.0607123027352057,-0.8282662085064978,-0.15461198827069025,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.072584043,67.95879066060297,-0.36558396004595817,-0.22750219031193253,-1.3639277533628993,-0.662002022581054,1.244717837033749,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0371921996,67.9233988171909,0.10418440407179465,0.3874767135512617,-1.716548448550481,-0.5454202323148349,1.0414293703597524,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0407754269,67.92698204447515,0.10204566270602712,0.3773341674711439,-0.3773482520036569,-0.3096323439401068,-0.5968137105559339,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0443586542,67.9305652717594,-0.5271059024633062,-0.6441221716105968,0.3733879602592438,-0.18690815106254213,0.08657809807486172,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0479418815,67.93414849904366,-1.0409200223543782,-1.4521179850137615,-0.047100545515615544,-0.556183937010301,0.5866125162314056,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0515251087,67.93773172632791,-0.2518848576924921,-0.5387783382938762,-0.25430763053149613,-0.16491344750325987,0.176076404333862,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.055108336,67.94131495361216,0.4520502764375435,0.14467843918319157,-0.26487641824195385,0.19411265427527682,-0.725904174458316,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0586915633,67.94489818089642,0.0010556012767798022,-0.48226640204413407,0.3312239479966892,0.22674525771063475,-0.4370537419413572,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0622747906,67.94848140818067,-0.4799103365851848,-0.6525561715795177,0.5298131073829176,-0.010620354683343589,0.3320169067593094,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0658580179,67.95206463546492,0.19194345368660976,0.2533390624449109,0.3887915166733666,0.28403824916692644,-0.05321417042249635,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0694412452,67.95564786274917,0.5677050635143264,-0.03868693107587416,0.4314334630594278,0.8552789517561429,0.040442857546895576,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0730244725,67.95923109003343,-0.1937191474454638,-1.4385255656204516,0.6264202023517453,0.8514832143557273,1.330597836263405,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0766076997,67.96281431731768,-0.43158093241383366,-0.7688413888452241,0.20406388412903284,0.5927258313522421,3.401036047386052,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.080190927,67.96639754460193,-0.2267916013350586,-0.7602684354896468,0.3810079974907165,0.33210901458992675,0.7126937651107611,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0837741543,67.96998077188618,0.4761762196244159,-0.8939352981394498,0.3741140199490897,0.7944268797128912,-1.1014878062836837,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0873573816,67.97356399917044,0.8118601990968936,-0.9750867707515903,0.34488479045710474,1.5190154284636943,0.44391196521731974,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0909406089,67.97714722645469,0.0976037137551612,-1.6570195873052442,0.9266996428079274,1.0890484170850727,-0.1051528293658496,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0945238362,67.98073045373894,-0.055180065726236426,-1.2234323383971202,0.35924392434075697,0.15380766164907564,-1.80644803170043,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.0981070634,67.9843136810232,0.7484806937911249,-1.0148822958191892,-0.5962452594263807,0.7511639410972075,-0.9894902096021025,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1016902907,67.98789690830745,1.0970792957155142,-0.4895412874428396,0.0008560690133996578,1.5034209736227067,0.36997832686943816,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.105273518,67.9914801355917,0.5140435223471481,0.006173321182051771,0.3832432945100109,0.7187453423307366,-0.14156560389557507,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.118183801,68.00439041852951,0.1951621189838414,-0.08739968388739205,-0.08115415399765685,0.023472131013271127,-0.9242059321089001,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1226989412,68.00890555873048,0.5049616270466425,0.6508122290713244,-0.40923409034006636,0.22809848711897188,0.31314751600024204,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1272140814,68.01342069893144,0.41455043371670885,0.336917830715541,0.3004353141564458,0.9823206547325246,2.3808182229912984,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1317292216,68.0179358391324,-0.26276941042726853,-0.3737379522926963,1.0810257984784504,0.7500773052230244,2.1124054278696716,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1362443618,68.02245097933337,-0.5256708592526935,0.311456072560056,0.6498577689377052,-0.33592557204473555,0.44136907749706294,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.140759502,68.02696611953434,-0.1430682348051094,0.5093809570775462,-0.04497513746638521,-0.4055147823118186,-0.1858767121762483,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753432.1452746422,68.0314812597353,0.32728855112896627,0.2835061426742824,0.2659740193926209,0.37681945904214204,-0.039415393460762546,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
