lsl_timestamp,ch1,ch2,ch3,ch4
753365.0393449331,-88.8671875,-38.57421875,-52.734375,-85.9375,-29.78515625
753365.0430138342,-29.296875,-24.4140625,-30.2734375,-106.93359375,268.06640625
753365.0466827352,-16.11328125,-29.78515625,-38.57421875,-79.1015625,507.32421875
753365.0503516363,-68.84765625,-20.5078125,-28.3203125,-92.28515625,32.71484375
753365.0540205373,-76.66015625,-8.30078125,-15.13671875,-86.42578125,-390.625
753365.0576894383,-24.90234375,-21.484375,-23.92578125,-41.015625,-102.05078125
753365.0613583394,8.7890625,-29.296875,-40.52734375,-16.6015625,150.390625
753365.0650272404,-30.76171875,-22.94921875,-41.015625,-33.69140625,-79.1015625
753365.0686961415,-63.4765625,-23.92578125,-16.6015625,-47.8515625,-273.4375
753365.0723650425,-22.94921875,-36.62109375,-13.671875,-36.1328125,181.15234375
753365.0777738368,28.80859375,-33.69140625,-19.53125,9.27734375,428.22265625
753365.0815375824,-4.39453125,-24.90234375,-39.55078125,9.765625,298.828125
753365.0853013281,-64.453125,-40.52734375,-49.8046875,-29.78515625,185.05859375
753365.0890650738,-35.15625,-39.0625,-10.7421875,-8.7890625,436.03515625
753365.0928288194,30.76171875,-30.76171875,-8.30078125,12.20703125,519.04296875
753365.0965925651,22.4609375,-39.55078125,-50.78125,20.5078125,-48.33984375
753365.1003563107,-5.859375,-26.85546875,-35.15625,25.87890625,4.8828125
753365.1041200564,13.671875,-7.8125,4.8828125,20.01953125,96.19140625
753365.107883802,39.55078125,-20.99609375,1.46484375,0.0,-206.54296875
753365.1116475477,52.24609375,-19.04296875,-27.83203125,-3.41796875,-252.44140625
753365.1154112933,12.6953125,-10.25390625,-52.24609375,-11.23046875,-170.8984375
753365.119175039,-18.5546875,-27.83203125,-52.24609375,-41.9921875,28.80859375
753365.1229387847,19.53125,-31.73828125,-67.3828125,-46.875,287.59765625
753365.1267025303,48.33984375,-22.4609375,-79.58984375,-29.296875,354.98046875
753365.130466276,15.625,-14.16015625,-69.3359375,-28.80859375,441.40625
753365.1342300216,-17.08984375,-15.625,-91.796875,-32.71484375,893.5546875
